32'h3cbd2e88,32'h40ce5ce0,32'h40d6c928, 32'h40c80baa,32'h40dd1a5e, 32'h40bd8450,32'h40e7a1b8,// invsqrt(0.0231) = 6.5804
32'h4041eb60,32'h3f102083,32'h3f16027e, 32'h3f0bb707,32'h3f1a6bfb, 32'h3f045c8e,32'h3f21c674,// invsqrt(3.0300) = 0.5745
32'h3e07af3d,32'h402c4d5e,32'h403355c0, 32'h40270715,32'h40389c09, 32'h401e3c9a,32'h40416684,// invsqrt(0.1325) = 2.7472
32'h3eda6684,32'h3fc01031,32'h3fc7e70e, 32'h3fba2f0a,32'h3fcdc834, 32'h3fb06276,32'h3fd794c9,// invsqrt(0.4266) = 1.5311
32'h428b590b,32'h3df072a7,32'h3dfa4317, 32'h3de91654,32'h3e00cfb5, 32'h3ddcd1c9,32'h3e06f1fb,// invsqrt(69.6739) = 0.1198
32'h3f83901e,32'h3f7775a5,32'h3f80c7ac, 32'h3f6fe25e,32'h3f84914f, 32'h3f63423e,32'h3f8ae15f,// invsqrt(1.0278) = 0.9864
32'h40014c55,32'h3f308193,32'h3f37b5e2, 32'h3f2b1a57,32'h3f3d1d1d, 32'h3f2218f4,32'h3f461e80,// invsqrt(2.0203) = 0.7035
32'h3eb83ce0,32'h3fd11d02,32'h3fd9a607, 32'h3fcab63d,32'h3fe00ccb, 32'h3fc00af7,32'h3feab811,// invsqrt(0.3598) = 1.6670
32'h3f2117ee,32'h3f9e218a,32'h3fa495d8, 32'h3f994a4f,32'h3fa96d13, 32'h3f9138ec,32'h3fb17e76,// invsqrt(0.6293) = 1.2606
32'h3f8fa20d,32'h3f6cd57b,32'h3f768028, 32'h3f65957b,32'h3f7dc029, 32'h3f598023,32'h3f84eac0,// invsqrt(1.1221) = 0.9440
32'h3f85807e,32'h3f75a7ec,32'h3f7faec6, 32'h3f6e22c8,32'h3f8399f5, 32'h3f619a36,32'h3f89de3e,// invsqrt(1.0430) = 0.9792
32'h3fc9d7ea,32'h3f47c910,32'h3f4ff09d, 32'h3f41ab65,32'h3f560e47, 32'h3f3779f4,32'h3f603fb8,// invsqrt(1.5769) = 0.7963
32'h409a4b79,32'h3ee4813c,32'h3eedd4e0, 32'h3edd8280,32'h3ef4d39c, 32'h3ed1d9f3,32'h3f003e14,// invsqrt(4.8217) = 0.4554
32'h40569ab2,32'h3f090150,32'h3f0e98e1, 32'h3f04cfa5,32'h3f12ca8d, 32'h3efba460,32'h3f19c802,// invsqrt(3.3532) = 0.5461
32'h3f6e4529,32'h3f8205f7,32'h3f875494, 32'h3f7c1605,32'h3f8b4f8a, 32'h3f6ed17e,32'h3f91f1cd,// invsqrt(0.9307) = 1.0365
32'h4011d2cf,32'h3f26344e,32'h3f2cfcf9, 32'h3f211dcf,32'h3f321379, 32'h3f18a2fa,32'h3f3a8e4e,// invsqrt(2.2785) = 0.6625
32'h3f49505d,32'h3f8d748c,32'h3f933a9d, 32'h3f892001,32'h3f978f29, 32'h3f81e86c,32'h3f9ec6be,// invsqrt(0.7864) = 1.1277
32'h409abf91,32'h3ee42b75,32'h3eed7b99, 32'h3edd2f5a,32'h3ef477b4, 32'h3ed18b2d,32'h3f000df1,// invsqrt(4.8359) = 0.4547
32'h3d6934da,32'h40836d67,32'h4088caaf, 32'h407ecee2,32'h408cd0a5, 32'h407165ad,32'h4093853f,// invsqrt(0.0569) = 4.1909
32'h40425a7d,32'h3f0ff74a,32'h3f15d797, 32'h3f0b8f12,32'h3f1a3fd0, 32'h3f0436b2,32'h3f219830,// invsqrt(3.0368) = 0.5738
32'h3f69f428,32'h3f8337a0,32'h3f8892b6, 32'h3f7e669e,32'h3f8c9707, 32'h3f7102e7,32'h3f9348e2,// invsqrt(0.9139) = 1.0461
32'h410f6b18,32'h3ea79798,32'h3eae6ec2, 32'h3ea27638,32'h3eb39022, 32'h3e99e942,32'h3ebc1d18,// invsqrt(8.9636) = 0.3340
32'h3fa01fb2,32'h3f604ea0,32'h3f697668, 32'h3f5970ca,32'h3f70543e, 32'h3f4dff10,32'h3f7bc5f8,// invsqrt(1.2510) = 0.8941
32'h3f37892b,32'h3f9425df,32'h3f9a31de, 32'h3f8f9ce1,32'h3f9ebadd, 32'h3f880de2,32'h3fa649dc,// invsqrt(0.7169) = 1.1810
32'h3f4b7429,32'h3f8cb59d,32'h3f9273e2, 32'h3f8866e9,32'h3f96c295, 32'h3f813912,32'h3f9df06c,// invsqrt(0.7947) = 1.1217
32'h3e43bb62,32'h400f7548,32'h40155046, 32'h400b110a,32'h4019b484, 32'h4003bf4d,32'h40210641,// invsqrt(0.1911) = 2.2873
32'h3fe870b5,32'h3f3a2c24,32'h3f41c574, 32'h3f347928,32'h3f477870, 32'h3f2af984,32'h3f50f814,// invsqrt(1.8159) = 0.7421
32'h3ef982ec,32'h3fb3b0d8,32'h3fbb066e, 32'h3fae30a8,32'h3fc0869e, 32'h3fa505ac,32'h3fc9b19a,// invsqrt(0.4873) = 1.4325
32'h3f1aef8b,32'h3fa13e26,32'h3fa7d2f9, 32'h3f9c4e89,32'h3facc297, 32'h3f941482,32'h3fb4fc9e,// invsqrt(0.6052) = 1.2854
32'h3e0f7196,32'h402793cd,32'h402e6ad0, 32'h4022728a,32'h40338c12, 32'h4019e5c6,32'h403c18d6,// invsqrt(0.1401) = 2.6718
32'h3fb19e59,32'h3f54f961,32'h3f5daabe, 32'h3f4e745c,32'h3f642fc4, 32'h3f4396a8,32'h3f6f0d78,// invsqrt(1.3876) = 0.8489
32'h3e93ee3a,32'h3fe95e50,32'h3ff2e4c6, 32'h3fe23977,32'h3ffa099f, 32'h3fd65164,32'h4002f8d9,// invsqrt(0.2889) = 1.8604
32'h3fa2625d,32'h3f5ebd8e,32'h3f67d4f8, 32'h3f57ec00,32'h3f6ea686, 32'h3f4c8ebc,32'h3f7a03ca,// invsqrt(1.2686) = 0.8878
32'h3f366f6d,32'h3f949819,32'h3f9aa8c1, 32'h3f900b9b,32'h3f9f353f, 32'h3f8876c8,32'h3fa6ca12,// invsqrt(0.7126) = 1.1846
32'h3e812944,32'h3ff9bfed,32'h4001f8c7, 32'h3ff21ab4,32'h4005cb64, 32'h3fe55cab,32'h400c2a68,// invsqrt(0.2523) = 1.9910
32'h40a8608a,32'h3edabd9b,32'h3ee3ab39, 32'h3ed40b65,32'h3eea5d6f, 32'h3ec8e25f,32'h3ef58675,// invsqrt(5.2618) = 0.4359
32'h3d49126c,32'h408d8a55,32'h40935148, 32'h4089351d,32'h4097a67f, 32'h4081fc6d,32'h409edf2f,// invsqrt(0.0491) = 4.5134
32'h3f128769,32'h3fa5cdc2,32'h3fac923c, 32'h3fa0ba65,32'h3fb1a599, 32'h3f9844cc,32'h3fba1b32,// invsqrt(0.5724) = 1.3218
32'h3ea96767,32'h3fda13a4,32'h3fe2fa52, 32'h3fd366a2,32'h3fe9a754, 32'h3fc84648,32'h3ff4c7ae,// invsqrt(0.3309) = 1.7385
32'h3f895ad6,32'h3f722f9f,32'h3f7c1237, 32'h3f6ac5ac,32'h3f81be15, 32'h3f5e6a6d,32'h3f87ebb4,// invsqrt(1.0731) = 0.9653
32'h3fca5ecd,32'h3f47866f,32'h3f4fab45, 32'h3f416acf,32'h3f55c6e5, 32'h3f373cc4,32'h3f5ff4f0,// invsqrt(1.5810) = 0.7953
32'h3ec235b7,32'h3fcbac86,32'h3fd3fcb6, 32'h3fc57063,32'h3fda38d9, 32'h3fbb0c28,32'h3fe49d14,// invsqrt(0.3793) = 1.6237
32'h3e931521,32'h3fea0a4b,32'h3ff397c7, 32'h3fe2e02f,32'h3ffac1e3, 32'h3fd6ef55,32'h4003595f,// invsqrt(0.2873) = 1.8658
32'h3f9c3a05,32'h3f63166f,32'h3f6c5b45, 32'h3f5c22cf,32'h3f734ee5, 32'h3f508cc4,32'h3f7ee4f0,// invsqrt(1.2205) = 0.9052
32'h3ffac498,32'h3f333d73,32'h3f3a8e53, 32'h3f2dc0cb,32'h3f400afb, 32'h3f249bb3,32'h3f493013,// invsqrt(1.9591) = 0.7144
32'h3f84bc23,32'h3f765d5c,32'h3f8035cf, 32'h3f6ed2aa,32'h3f83fb28, 32'h3f6240d7,32'h3f8a4412,// invsqrt(1.0370) = 0.9820
32'h3de6f44c,32'h403ac538,32'h404264c8, 32'h40350d8d,32'h40481c73, 32'h402b861a,32'h4051a3e6,// invsqrt(0.1128) = 2.9778
32'h3f20cf8b,32'h3f9e451d,32'h3fa4badf, 32'h3f996ccb,32'h3fa99331, 32'h3f915998,32'h3fb1a664,// invsqrt(0.6282) = 1.2617
32'h3f831b59,32'h3f77e3bf,32'h3f8100f8, 32'h3f704d1a,32'h3f84cc4b, 32'h3f63a75c,32'h3f8b1f2a,// invsqrt(1.0243) = 0.9881
32'h3f0462db,32'h3fae6f7a,32'h3fb58e26, 32'h3fa91879,32'h3fbae527, 32'h3fa03222,32'h3fc3cb7e,// invsqrt(0.5171) = 1.3906
32'h3e5e51f1,32'h40069b51,32'h400c19d1, 32'h40027c70,32'h401038b2, 32'h3ff73c9f,32'h401716d3,// invsqrt(0.2171) = 2.1462
32'h3fbf2699,32'h3f4d4c14,32'h3f55ad3a, 32'h3f470338,32'h3f5bf616, 32'h3f3c89ca,32'h3f666f85,// invsqrt(1.4934) = 0.8183
32'h4133c12f,32'h3e95b2b0,32'h3e9bcee2, 32'h3e911d8c,32'h3ea06406, 32'h3e897a4e,32'h3ea80744,// invsqrt(11.2347) = 0.2983
32'h412fefde,32'h3e97503d,32'h3e9d7d4f, 32'h3e92ae6f,32'h3ea21f1d, 32'h3e8af619,32'h3ea9d773,// invsqrt(10.9961) = 0.3016
32'h40915110,32'h3eeb753b,32'h3ef51187, 32'h3ee44003,32'h3efc46bf, 32'h3ed83ca4,32'h3f04250f,// invsqrt(4.5411) = 0.4693
32'h40a3e8d5,32'h3eddb3a1,32'h3ee6c02f, 32'h3ed6ea36,32'h3eed899a, 32'h3ecb9a84,32'h3ef8d94c,// invsqrt(5.1222) = 0.4418
32'h3ed6efcf,32'h3fc19ac7,32'h3fc981c0, 32'h3fbbad8d,32'h3fcf6efb, 32'h3fb1ccd7,32'h3fd94fb1,// invsqrt(0.4198) = 1.5434
32'h3f61c573,32'h3f8592ec,32'h3f8b06a3, 32'h3f817c24,32'h3f8f1d6c, 32'h3f755702,32'h3f95ee0f,// invsqrt(0.8819) = 1.0648
32'h4042aa8c,32'h3f0fd9ad,32'h3f15b8c3, 32'h3f0b725c,32'h3f1a2014, 32'h3f041b7f,32'h3f2176f1,// invsqrt(3.0417) = 0.5734
32'h3fa5bfd5,32'h3f5c77c0,32'h3f65776a, 32'h3f55b801,32'h3f6c3729, 32'h3f4a786c,32'h3f7776be,// invsqrt(1.2949) = 0.8788
32'h4048ce5b,32'h3f0da250,32'h3f136a3e, 32'h3f094c5d,32'h3f17c031, 32'h3f021273,32'h3f1efa1b,// invsqrt(3.1376) = 0.5645
32'h3f92386b,32'h3f6abaab,32'h3f744f59, 32'h3f638b28,32'h3f7b7edc, 32'h3f57914f,32'h3f83bc5b,// invsqrt(1.1423) = 0.9356
32'h407b1f0d,32'h3efd4e27,32'h3f03d278, 32'h3ef58d12,32'h3f07b303, 32'h3ee8a098,32'h3f0e2940,// invsqrt(3.9238) = 0.5048
32'h3f653231,32'h3f84927c,32'h3f89fbba, 32'h3f80838d,32'h3f8e0aa9, 32'h3f737ffd,32'h3f94ce37,// invsqrt(0.8953) = 1.0569
32'h4015ab9b,32'h3f240df4,32'h3f2ac028, 32'h3f1f084d,32'h3f2fc5cf, 32'h3f16a98d,32'h3f38248f,// invsqrt(2.3386) = 0.6539
32'h3f1656fe,32'h3fa3b057,32'h3faa5eb8, 32'h3f9ead8d,32'h3faf6181, 32'h3f965393,32'h3fb7bb7b,// invsqrt(0.5873) = 1.3049
32'h3f82519c,32'h3f78a354,32'h3f8164ac, 32'h3f7106d2,32'h3f8532ed, 32'h3f64574d,32'h3f8b8aaf,// invsqrt(1.0181) = 0.9911
32'h3f19ec41,32'h3fa1c5bd,32'h3fa86018, 32'h3f9cd1f8,32'h3fad53dc, 32'h3f949106,32'h3fb594ce,// invsqrt(0.6013) = 1.2896
32'h3f59f610,32'h3f87f22d,32'h3f8d7ead, 32'h3f83c8ce,32'h3f91a80c, 32'h3f79b25e,32'h3f9897ab,// invsqrt(0.8514) = 1.0838
32'h3df400fb,32'h4035b51b,32'h403d1fc3, 32'h4030251d,32'h4042afc1, 32'h4026dfca,32'h404bf514,// invsqrt(0.1191) = 2.8971
32'h3f8bd6bc,32'h3f700680,32'h3f79d285, 32'h3f68ad7c,32'h3f8095c4, 32'h3f5c6e75,32'h3f86b548,// invsqrt(1.0925) = 0.9567
32'h3f9165b1,32'h3f6b6487,32'h3f750024, 32'h3f642fd1,32'h3f7c34d9, 32'h3f582d4c,32'h3f841baf,// invsqrt(1.1359) = 0.9383
32'h3f29a659,32'h3f9a177c,32'h3fa06196, 32'h3f955fe9,32'h3fa51929, 32'h3f8d8348,32'h3facf5ca,// invsqrt(0.6627) = 1.2284
32'h3ec8328f,32'h3fc89ae0,32'h3fd0cafe, 32'h3fc276c9,32'h3fd6ef15, 32'h3fb83aa4,32'h3fe12b3a,// invsqrt(0.3910) = 1.5992
32'h3e966639,32'h3fe771f6,32'h3ff0e454, 32'h3fe05c30,32'h3ff7fa1a, 32'h3fd48d3b,32'h4001e488,// invsqrt(0.2937) = 1.8451
32'h40498c2c,32'h3f0d5f8e,32'h3f1324c2, 32'h3f090ba6,32'h3f1778aa, 32'h3f01d524,32'h3f1eaf2c,// invsqrt(3.1492) = 0.5635
32'h3b617522,32'h4185aab5,32'h418b1f63, 32'h41819332,32'h418f36e6, 32'h417582af,32'h419608c0,// invsqrt(0.0034) = 17.0493
32'h3f08a9a2,32'h3fabaf3d,32'h3fb2b12b, 32'h3fa66dcb,32'h3fb7f29d, 32'h3f9dab62,32'h3fc0b506,// invsqrt(0.5338) = 1.3687
32'h40112b6f,32'h3f269403,32'h3f2d6095, 32'h3f217a95,32'h3f327a03, 32'h3f18fade,32'h3f3af9ba,// invsqrt(2.2683) = 0.6640
32'h3ec074a1,32'h3fcc999e,32'h3fd4f37a, 32'h3fc65638,32'h3fdb36e0, 32'h3fbbe5e4,32'h3fe5a734,// invsqrt(0.3759) = 1.6311
32'h407a6bce,32'h3efda8bf,32'h3f04019d, 32'h3ef5e4e3,32'h3f07e38b, 32'h3ee8f3c9,32'h3f0e5c17,// invsqrt(3.9128) = 0.5055
32'h3fc21035,32'h3f4bc034,32'h3f541130, 32'h3f458376,32'h3f5a4dee, 32'h3f3b1e3a,32'h3f64b32a,// invsqrt(1.5161) = 0.8121
32'h4105b455,32'h3ead92ca,32'h3eb4a874, 32'h3ea8428a,32'h3eb9f8b4, 32'h3e9f6776,32'h3ec2d3c9,// invsqrt(8.3565) = 0.3459
32'h3f6cd905,32'h3f8269c5,32'h3f87bc74, 32'h3f7cd782,32'h3f8bba77, 32'h3f6f88cc,32'h3f9261d2,// invsqrt(0.9252) = 1.0396
32'h3efadd10,32'h3fb334b5,32'h3fba8539, 32'h3fadb851,32'h3fc0019d, 32'h3fa493ab,32'h3fc92643,// invsqrt(0.4900) = 1.4286
32'h3eb5022d,32'h3fd2f86d,32'h3fdb94d9, 32'h3fcc831b,32'h3fe20a2b, 32'h3fc1bf93,32'h3feccdb3,// invsqrt(0.3535) = 1.6818
32'h40ed460f,32'h3eb84436,32'h3ebfc99b, 32'h3eb2a029,32'h3ec56da7, 32'h3ea9396a,32'h3eced466,// invsqrt(7.4148) = 0.3672
32'h3f490dc7,32'h3f8d8bf7,32'h3f9352fb, 32'h3f8936b3,32'h3f97a83f, 32'h3f81fded,32'h3f9ee105,// invsqrt(0.7854) = 1.1284
32'h3f915d7c,32'h3f6b6b2c,32'h3f75070e, 32'h3f643642,32'h3f7c3bf8, 32'h3f583367,32'h3f841f6a,// invsqrt(1.1357) = 0.9384
32'h3fb74195,32'h3f51ac30,32'h3f5a3b0e, 32'h3f4b410a,32'h3f60a634, 32'h3f408e76,32'h3f6b58c9,// invsqrt(1.4317) = 0.8357
32'h3fdbe15b,32'h3f3f6a74,32'h3f473a8e, 32'h3f398e61,32'h3f4d16a1, 32'h3f2fca41,32'h3f56dac1,// invsqrt(1.7178) = 0.7630
32'h40826250,32'h3ef89367,32'h3f015c62, 32'h3ef0f761,32'h3f052a65, 32'h3ee448ac,32'h3f0b81bf,// invsqrt(4.0745) = 0.4954
32'h3fe2acf2,32'h3f3c865e,32'h3f443843, 32'h3f36c0f3,32'h3f49fdaf, 32'h3f2d2296,32'h3f539c0c,// invsqrt(1.7709) = 0.7515
32'h3e839785,32'h3ff76eaf,32'h4000c40d, 32'h3fefdb9f,32'h40048d94, 32'h3fe33bda,32'h400add77,// invsqrt(0.2570) = 1.9725
32'h3e334e7e,32'h4015e289,32'h401c00ad, 32'h40114bed,32'h40209749, 32'h4009a63f,32'h40283cf7,// invsqrt(0.1751) = 2.3897
32'h3e96f2d4,32'h3fe70612,32'h3ff07408, 32'h3fdff399,32'h3ff78681, 32'h3fd42a25,32'h4001a7fa,// invsqrt(0.2948) = 1.8417
32'h400fa708,32'h3f27749d,32'h3f2e4a5b, 32'h3f22544f,32'h3f336aa9, 32'h3f19c923,32'h3f3bf5d5,// invsqrt(2.2446) = 0.6675
32'h3e1ceaa1,32'h402038ca,32'h4026c2f2, 32'h401b512c,32'h402baa90, 32'h4013247b,32'h4033d741,// invsqrt(0.1532) = 2.5546
32'h3f6e0746,32'h3f8216dd,32'h3f87662a, 32'h3f7c36c8,32'h3f8b61a4, 32'h3f6ef087,32'h3f9204c4,// invsqrt(0.9298) = 1.0371
32'h40365ed1,32'h3f149edd,32'h3f1aafcb, 32'h3f101229,32'h3f1f3c7f, 32'h3f087cff,32'h3f26d1a9,// invsqrt(2.8495) = 0.5924
32'h3f792a26,32'h3f7e4c45,32'h3f8456b6, 32'h3f768367,32'h3f883b25, 32'h3f6989f6,32'h3f8eb7dd,// invsqrt(0.9733) = 1.0136
32'h3f839a90,32'h3f776bd3,32'h3f80c290, 32'h3f6fd8d9,32'h3f848c0c, 32'h3f63393a,32'h3f8adbdc,// invsqrt(1.0282) = 0.9862
32'h3efe294d,32'h3fb20a1b,32'h3fb94e6f, 32'h3fac96db,32'h3fbec1af, 32'h3fa38171,32'h3fc7d719,// invsqrt(0.4964) = 1.4193
32'h3f242afa,32'h3f9ca4b2,32'h3fa30976, 32'h3f97d920,32'h3fa7d508, 32'h3f8fdb2c,32'h3fafd2fc,// invsqrt(0.6413) = 1.2488
32'h3f52456e,32'h3f8a68da,32'h3f900f17, 32'h3f862c2c,32'h3f944bc4, 32'h3f7e38be,32'h3f9b5b91,// invsqrt(0.8214) = 1.1034
32'h3f7e58f6,32'h3f7bb194,32'h3f82fbc2, 32'h3f73fd1f,32'h3f86d5fd, 32'h3f6725b1,32'h3f8d41b3,// invsqrt(0.9935) = 1.0032
32'h40a02594,32'h3ee04a81,32'h3ee9721d, 32'h3ed96ccb,32'h3ef04fd3, 32'h3ecdfb47,32'h3efbc157,// invsqrt(5.0046) = 0.4470
32'h3f655b67,32'h3f848692,32'h3f89ef54, 32'h3f807800,32'h3f8dfde6, 32'h3f736a1c,32'h3f94c0d8,// invsqrt(0.8959) = 1.0565
32'h42605641,32'h3e060011,32'h3e0b783b, 32'h3e01e5f1,32'h3e0f925b, 32'h3df61f78,32'h3e166890,// invsqrt(56.0842) = 0.1335
32'h3e9a1fac,32'h3fe4a1b2,32'h3fedf6a9, 32'h3fdda1f8,32'h3ff4f662, 32'h3fd1f7c2,32'h4000504c,// invsqrt(0.3010) = 1.8226
32'h40000f84,32'h3f315b62,32'h3f389896, 32'h3f2bed7c,32'h3f3e067c, 32'h3f22e0fc,32'h3f4712fc,// invsqrt(2.0009) = 0.7069
32'h419b3f48,32'h3e63cd87,32'h3e6d19d6, 32'h3e5cd44d,32'h3e741311, 32'h3e5134ea,32'h3e7fb274,// invsqrt(19.4059) = 0.2270
32'h3f98defb,32'h3f659104,32'h3f6eefc0, 32'h3f5e89f7,32'h3f75f6cd, 32'h3f52d38b,32'h3f80d69c,// invsqrt(1.1943) = 0.9150
32'h3e9b793b,32'h3fe3a30f,32'h3feceda2, 32'h3fdcab21,32'h3ff3e591, 32'h3fd10dea,32'h3fff82c8,// invsqrt(0.3037) = 1.8147
32'h3fdf1bc6,32'h3f3e06a7,32'h3f45c83a, 32'h3f383577,32'h3f4b9969, 32'h3f2e837e,32'h3f554b62,// invsqrt(1.7430) = 0.7574
32'h40acdabe,32'h3ed7e39c,32'h3ee0b36f, 32'h3ed147bf,32'h3ee74f4d, 32'h3ec643f9,32'h3ef25313,// invsqrt(5.4017) = 0.4303
32'h3fd15ef9,32'h3f44293b,32'h3f4c2ae9, 32'h3f3e27f8,32'h3f522c2c, 32'h3f3425dd,32'h3f5c2e47,// invsqrt(1.6357) = 0.7819
32'h4026e6ee,32'h3f1b5ae0,32'h3f21b22d, 32'h3f169966,32'h3f2673a6, 32'h3f0eac45,32'h3f2e60c7,// invsqrt(2.6078) = 0.6192
32'h3f72c899,32'h3f80cf1e,32'h3f86110a, 32'h3f79bb59,32'h3f8a027b, 32'h3f6c968a,32'h3f9094e3,// invsqrt(0.9484) = 1.0269
32'h3f2a7fb0,32'h3f99b526,32'h3f9ffb3d, 32'h3f950096,32'h3fa4afce, 32'h3f8d28fa,32'h3fac876a,// invsqrt(0.6660) = 1.2253
32'h400c6567,32'h3f2962ea,32'h3f304cd4, 32'h3f24337a,32'h3f357c44, 32'h3f1b8f16,32'h3f3e20a9,// invsqrt(2.1937) = 0.6752
32'h3e963ccf,32'h3fe791da,32'h3ff10585, 32'h3fe07b1a,32'h3ff81c46, 32'h3fd4aa85,32'h4001f66e,// invsqrt(0.2934) = 1.8461
32'h3fe34853,32'h3f3c45e2,32'h3f43f525, 32'h3f368271,32'h3f49b897, 32'h3f2ce75d,32'h3f5353ab,// invsqrt(1.7756) = 0.7505
32'h3fa41c88,32'h3f5d90b2,32'h3f669bd4, 32'h3f56c859,32'h3f6d642d, 32'h3f4b7a70,32'h3f78b217,// invsqrt(1.2821) = 0.8832
32'h3f88423d,32'h3f73287d,32'h3f7d153e, 32'h3f6bb6ec,32'h3f824367, 32'h3f5f4efa,32'h3f887760,// invsqrt(1.0645) = 0.9692
32'h3fb7ff44,32'h3f514001,32'h3f59ca74, 32'h3f4ad82b,32'h3f60324b, 32'h3f402b1c,32'h3f6adf5b,// invsqrt(1.4375) = 0.8341
32'h40de1961,32'h3ebe7511,32'h3ec63b26, 32'h3eb8a080,32'h3ecc0fb6, 32'h3eaee8e5,32'h3ed5c751,// invsqrt(6.9406) = 0.3796
32'h400ec9ca,32'h3f27f627,32'h3f2ed12d, 32'h3f22d1e2,32'h3f33f572, 32'h3f1a4019,32'h3f3c873b,// invsqrt(2.2311) = 0.6695
32'h3fa4af88,32'h3f5d2db9,32'h3f6634d1, 32'h3f566868,32'h3f6cfa22, 32'h3f4b1f8b,32'h3f7842ff,// invsqrt(1.2866) = 0.8816
32'h3e103920,32'h40271fb8,32'h402df1fe, 32'h40220203,32'h40330fb3, 32'h40197b2c,32'h403b968b,// invsqrt(0.1408) = 2.6646
32'h3f87cce7,32'h3f739172,32'h3f7d827c, 32'h3f6c1cab,32'h3f827ba2, 32'h3f5faf5e,32'h3f88b248,// invsqrt(1.0609) = 0.9709
32'h40002cb4,32'h3f31472f,32'h3f38838f, 32'h3f2bd9e7,32'h3f3df0d7, 32'h3f22ce6f,32'h3f46fc4f,// invsqrt(2.0027) = 0.7066
32'h3e5785c1,32'h4008b686,32'h400e4b08, 32'h40048723,32'h40127a6b, 32'h3ffb1b00,32'h4019740e,// invsqrt(0.2105) = 2.1797
32'h3f44f5d1,32'h3f8f0297,32'h3f94d8e7, 32'h3f8aa1dc,32'h3f9939a2, 32'h3f8355f9,32'h3fa08585,// invsqrt(0.7694) = 1.1401
32'h3eb889fe,32'h3fd0f14b,32'h3fd97888, 32'h3fca8bde,32'h3fdfddf6, 32'h3fbfe2d3,32'h3fea8701,// invsqrt(0.3604) = 1.6657
32'h3de3f30d,32'h403bff54,32'h4043abb6, 32'h40363e0b,32'h40496cff, 32'h402ca691,32'h40530479,// invsqrt(0.1113) = 2.9974
32'h3e6484f0,32'h4004c4b3,32'h400a2fff, 32'h4000b43b,32'h400e4077, 32'h3ff3dc3a,32'h40150695,// invsqrt(0.2232) = 2.1168
32'h3eee9812,32'h3fb7c181,32'h3fbf4191, 32'h3fb22175,32'h3fc4e19d, 32'h3fa8c162,32'h3fce41b0,// invsqrt(0.4660) = 1.4649
32'h3f44b32a,32'h3f8f1ad0,32'h3f94f21c, 32'h3f8ab956,32'h3f995396, 32'h3f836c37,32'h3fa0a0b5,// invsqrt(0.7684) = 1.1408
32'h3e9650f2,32'h3fe78257,32'h3ff0f55f, 32'h3fe06c10,32'h3ff80ba6, 32'h3fd49c45,32'h4001edb8,// invsqrt(0.2936) = 1.8456
32'h3f8f7c6a,32'h3f6cf489,32'h3f76a079, 32'h3f65b394,32'h3f7de16e, 32'h3f599ca7,32'h3f84fc2d,// invsqrt(1.1210) = 0.9445
32'h40290518,32'h3f1a60ec,32'h3f20ae06, 32'h3f15a719,32'h3f2567d9, 32'h3f0dc6ba,32'h3f2d4838,// invsqrt(2.6409) = 0.6153
32'h3d7c842b,32'h407c9aca,32'h4083751f, 32'h4074df31,32'h408752ec, 32'h4067fbdd,32'h408dc495,// invsqrt(0.0616) = 4.0275
32'h3f19926f,32'h3fa1f505,32'h3fa8914e, 32'h3f9cffcd,32'h3fad8685, 32'h3f94bc72,32'h3fb5c9e0,// invsqrt(0.5999) = 1.2911
32'h400fc59b,32'h3f2762ce,32'h3f2e37d2, 32'h3f22430c,32'h3f335794, 32'h3f19b8c8,32'h3f3be1d8,// invsqrt(2.2464) = 0.6672
32'h3e8371d9,32'h3ff79221,32'h4000d67f, 32'h3feffdfc,32'h4004a092, 32'h3fe35c68,32'h400af15c,// invsqrt(0.2567) = 1.9736
32'h4055158c,32'h3f097e32,32'h3f0f1adc, 32'h3f0548b3,32'h3f13505b, 32'h3efc89c0,32'h3f1a542e,// invsqrt(3.3294) = 0.5480
32'h408113ed,32'h3ef9d492,32'h3f020385, 32'h3ef22eb7,32'h3f05d673, 32'h3ee56fa0,32'h3f0c35fe,// invsqrt(4.0337) = 0.4979
32'h3f4316c2,32'h3f8fb1c2,32'h3f958f38, 32'h3f8b4baa,32'h3f99f550, 32'h3f83f6d7,32'h3fa14a23,// invsqrt(0.7621) = 1.1455
32'h3f2df268,32'h3f982d31,32'h3f9e6348, 32'h3f9384a0,32'h3fa30bda, 32'h3f8bc104,32'h3faacf76,// invsqrt(0.6795) = 1.2131
32'h407ba91d,32'h3efd08a2,32'h3f03ae4a, 32'h3ef549ae,32'h3f078dc5, 32'h3ee860c0,32'h3f0e023c,// invsqrt(3.9322) = 0.5043
32'h3feeaad4,32'h3f37ba49,32'h3f3f3a0d, 32'h3f321a76,32'h3f44d9e0, 32'h3f28bac0,32'h3f4e3996,// invsqrt(1.8646) = 0.7323
32'h3f9934c6,32'h3f6550b4,32'h3f6eacd0, 32'h3f5e4b9f,32'h3f75b1e5, 32'h3f52987b,32'h3f80b284,// invsqrt(1.1969) = 0.9140
32'h3f0a5e22,32'h3faa9f99,32'h3fb19670, 32'h3fa56677,32'h3fb6cf91, 32'h3f9cb1ea,32'h3fbf841e,// invsqrt(0.5405) = 1.3602
32'h3f95e6ba,32'h3f67d44e,32'h3f714ab0, 32'h3f60bb85,32'h3f786379, 32'h3f54e78c,32'h3f821bb9,// invsqrt(1.1711) = 0.9241
